Bitcoin,$104321730890,$6094.36,$3322110000,-0.13%
Ethereum,$43441536164,$433.00,$1376770000,-0.14%
Ripple,$17970766459,$0.457713,$196694000,-0.28%
Bitcoin Cash,$12024974498,$698.91,$350161000,0.12%
EOS,$6729338882,$7.51,$644304000,-0.34%
Litecoin,$4380040157,$76.64,$260288000,-0.74%
Stellar,$3480726432,$0.185538,$32199800,-0.16%
Cardano,$3268159095,$0.126052,$34607000,-0.49%
Tether,$2707107860,$0.999988,$2068860000,0.03%
IOTA,$2616888848,$0.941486,$41688900,-0.95%
TRON,$2505785456,$0.038112,$95197400,-0.45%
Monero,$1997135837,$123.51,$36834100,0.55%
NEO,$1947237500,$29.96,$54172500,-1.03%
Dash,$1856166156,$227.59,$178058000,-0.49%
Binance Coin,$1606488250,$14.09,$38684600,-0.74%
Ethereum Classic,$1489682611,$14.52,$232146000,-0.08%
VeChain,$1360355266,$2.48,$47871800,-1.16%
NEM,$1352250000,$0.150250,$11876900,-0.59%
Qtum,$792176665,$8.93,$170512000,2.19%
Ontology,$781038288,$5.16,$73991100,-1.22%
OmiseGO,$738953384,$7.24,$17199100,0.30%
Zcash,$682359343,$161.45,$40507300,-0.18%
ICON,$567555919,$1.46,$25097300,-0.09%
Lisk,$562778343,$5.24,$6563350,-0.08%
Decred,$507537823,$71.03,$8541620,0.53%
Zilliqa,$473549402,$0.062507,$25111900,-0.77%
Bytecoin,$466206504,$0.002535,$3575690,-0.61%
Aeternity,$419159555,$1.80,$5629870,-0.44%
Bitcoin Gold,$412522904,$24.14,$9149540,-0.23%
Siacoin,$353680905,$0.010017,$6441970,-0.06%
Bytom,$344884813,$0.344025,$63864300,0.64%
BitShares,$344544099,$0.130669,$6322860,-0.26%
Steem,$338328090,$1.28,$1176170,-0.62%
Verge,$332856938,$0.022110,$4212200,-0.58%
Augur,$327538200,$29.78,$2767740,-0.45%
0x,$325689105,$0.611820,$6610210,-0.68%
Bitcoin Diamond,$305954655,$1.99,$762088,-1.80%
Maker,$296215181,$479.14,$311499,-0.20%
Nano,$288891618,$2.17,$4676640,-0.14%
Dogecoin,$280243052,$0.002436,$4564390,0.42%
RChain,$276905265,$0.767842,$290494,1.52%
Waves,$246203000,$2.46,$18133000,-2.53%
Golem,$244928581,$0.291845,$7122840,-0.86%
Stratis,$230918090,$2.33,$2082120,-0.07%
Bitcoin Private,$221329109,$10.81,$313388,-1.85%
Wanchain,$220737739,$2.08,$3369860,0.75%
Basic Attenti...,$220341000,$0.220341,$2334360,-0.91%
DigiByte,$213124311,$0.020403,$1701220,0.81%
Populous,$212292102,$5.74,$7089610,2.08%
Hshare,$197840805,$4.58,$22973000,-0.40%
Nebulas,$197639715,$4.34,$29130000,-0.63%
KuCoin Shares,$193821378,$2.14,$973463,0.06%
Huobi Token,$188561754,$3.77,$91454900,0.05%
Status,$186381638,$0.053705,$5222750,-0.51%
IOST,$185997840,$0.022143,$22513100,0.46%
Waltonchain,$185284656,$5.95,$4766820,-1.32%
Loopring,$183661511,$0.321045,$4851310,-0.34%
DigixDAO,$179254200,$89.63,$528610,-0.32%
Aion,$170612462,$1.02,$2126110,-0.69%
Cryptonex,$165713329,$3.65,$1541400,4.59%
Komodo,$159923550,$1.53,$394345,-1.23%
GXChain,$148157400,$2.47,$14910200,0.18%
Bancor,$142388452,$2.83,$5066730,0.01%
Ardor,$137286507,$0.137424,$1096150,-1.21%
ReddCoin,$136478110,$0.004737,$2107930,2.11%
MaidSafeCoin,$133673121,$0.295376,$2019980,0.16%
MOAC,$133381250,$3.72,$91529,-1.64%
Ark,$129963164,$1.26,$489701,0.17%
MonaCoin,$128378069,$2.12,$695484,-0.13%
aelf,$127838500,$0.511354,$13606900,-0.07%
Cortex,$125001956,$0.834501,$27721100,0.79%
Centrality,$118703125,$0.150478,$95736,-2.67%
Dentacoin,$116112731,$0.000357,$35880,-4.86%
FunFair,$115469986,$0.023044,$1063280,-0.02%
Dropil,$111434874,$0.005651,$264495,-0.25%
Kyber Network,$110973748,$0.827343,$4463060,-0.47%
Mithril,$110432681,$0.360239,$17422200,-0.57%
Enigma,$106904967,$1.43,$1557020,0.57%
PIVX,$105819663,$1.87,$836451,0.47%
Bibox Token,$103105486,$0.988145,$46779500,0.01%
Theta Token,$102839190,$0.154901,$23282500,-1.11%
